Department,Population,Capital,latitude,longitude
Aboudeïa,"65,772",Abodeia,11.4519229,19.2789781
Assoungha,"283,315",Adré,13.4656366,22.1976442
Baguirmi,"226,128",Massenya,11.4037243,16.1718621
Barh Azoum,"184,984",Am Timan,11.0400282,20.283361
Barh el Gazel,"225,827",Moussoro,13.6446655,16.4917446
Barh Kôh,"104,812",Sarh,9.1429533,18.3863478
Barh Sara,"64,822",Moïssala,8.3382068,17.7647307
Barh Signaka,"196,043",Melfi,11.0632813,17.9331256
Batha Est,"188,631",Oum Hadjer,13.2923005,19.6889388
Batha Ouest,"222,243",Ati,13.2154372,18.3436793
Biltine,"159,323",Biltine,14.5256375,20.9273927
Borkou,"72,760",Faya,17.9283613,19.0998699
Chari,"191,945",Mandalia,11.7270262,15.2459304
Dababa,"219,686",Bokoro,12.3764277,17.0563053
Dagana,"188,233",Massakory,12.9975069,15.7337781
Dar Tama,"179,095",Guéréda,14.5102616,22.0880834
Djourouf al Ahmar,"71,472",Am Dam,12.7639361,20.4669645
Dodjé,"105,126",Beïnamar,8.669317,15.3809286
Ennedi Est,"113,862",Bahaï,15.5398065,22.9142088
Ennedi Ouest,"59,744",Fada,17.1836214,21.5838382
Fitri,"116,157",Yao,12.8514372,17.5586068
Grande Sido,"105,375",Maro,8.4757096,18.7682934
Guéra,"179,609",Mongo,12.1850214,18.6877632
Haraze al Biar,"155,038",Massaguet,12.4819825,15.4369262
Haraze Mangueigne,"57,849",Haraze Mangueigne,9.948526,20.9053415
Kobe,"156,515",Iriba,15.1259929,22.2472324
Kabbia,"216,151",Gounou Gaya,9.6299695,15.510309
Kanem,"160,223",Mao,14.1223266,15.311436
Kimiti,"218,304",Goz Beïda,12.2249066,21.4125537
Lac Iro,"173,822",Kyabé,9.4553098,18.944933
Lac Léré,"226,600",Léré,9.658674,14.2249194
Lac Wey,"326,496",Moundou,8.5718203,16.0729842
Loug Chari,"203,712",Bousso,10.465207,16.7340271
Mamdi,"232,242",Bol,13.4607351,14.7127708
Mandoul Occidental,"148,774",Béndjondo,8.6332486,17.1864074
Mandoul Oriental,"262,485",Koumra,8.9196851,17.5475848
Mayo Boneye,"242,845",Bongor,10.2786881,15.3764057
Mayo Dallah,"338,487",Pala,9.3649195,14.9106442
Monts de Lam,"225,654",Baïbokoum,7.7456818,15.6923924
N’Djamena,"993,492",N'Djamena,12.1107045,15.0907683
Ngourkosso,"157,142",Bénoye,8.9854088,16.3181516
Nya Pendé,"111,459",Goré,7.9260917,16.6322943
Ouara,"335,309",Abéché,13.833056,20.834722
Pendé,"169,049",Doba,8.663404,16.8507728
Tandjilé Est,"259,241",Laï,9.4,16.3
Tandjilé Ouest,"423,576",Kélo,9.3073262,15.8021238
Tibesti,"14,984",Bardaï,21.353333,17.000278
Wayi,"219,127",Ngouri,13.6382483,15.3696055
