Department,Population,Capital,latitude,longitude
Bakel,"138,867",Bakel,14.904167,-12.458333
Bambey,"299,476",Bambey,14.69548,-16.449262
Bignona,"252,556",Bignona,12.816667,-16.233333
Dagana,"241,695",Dagana,16.483333,-15.6
Dakar,"1,146,053",Dakar,14.692778,-17.446667
Diourbel,"268,215",Diourbel,14.666667,-16.25
Fatick,"339,241",Fatick,14.333333,-16.406944
Foundiougne,"279,436",Foundiougne,14.133333,-16.466667
Gossas,"95,715",Gossas,14.5,-16.066667
Guédiawaye,"329,659",Guédiawaye,14.783333,-17.4
Kaffrine,"207,676",Kaffrine,14.1027,-15.5446
Kanel,"238,606",Kanel,15.49,-13.18
Kaolack,"488,765",Kaolack,14.183333,-16.25
Kébémer,"259,085",Kébémer,15.37,-16.43
Kédougou,"78,522",Kédougou,12.55,-12.183333
Kolda,"245,990",Kolda,12.883333,-14.95
Linguère,"241,897",Linguère,15.394444,-15.116667
Louga,"373,211",Louga,15.616667,-16.216667
Matam,"272,620",Matam,15.616667,-13.333333
Mbacké,"929,764",Mbacké,14.791667,-15.908333
Mbour,"668,878",Mbour,14.416667,-16.966667
Nioro du Rip,"356,927",Nioro du Rip,13.75,-15.8
Oussouye,"48,331",Oussouye,12.485,-16.546944
Pikine,"1,170,791",Pikine,14.75,-17.4
Podor,"370,751",Podor,16.616667,-15.033333
Ranérou Ferlo,"51,313",Ranérou Ferlo,15.3,-13.97
Rufisque,"490,694",Rufisque,14.716667,-17.266667
Saint-Louis,"296,497",Saint-Louis,16.033333,-16.5
Sédhiou,"151,327",Sédhiou,12.7,-15.55
Tambacounda,"299,163",Tambacounda,13.768889,-13.667222
Thiès,"667,814",Thiès,14.783333,-16.916667
Tivaouane,"452,172",Tivaouane,14.95,-16.816667
Vélingara,"278,381",Vélingara,13.15,-14.116667
Ziguinchor,"248,264",Ziguinchor,12.583333,-16.266667
